fecha,grupo_muscular,ejercicio,unidad_carga,carga,series,repeticiones,notas
2026-03-09,Tríceps,Tríceps polea con lazo,panelas,8,3,12,objetivo 15 reps
2026-03-17,Tríceps,Tríceps polea con lazo,panelas,9,3,12,objetivo 15 reps
2026-03-17,Piernas,Flexor de rodilla,panelas,7,1,70,registro especial
2026-03-19,Bíceps,Bícep supino en polea,panelas,6,3,12,
2026-03-21,Pecho,Press plano asistido,kg_por_lado,30,2,5,
2026-03-21,Tríceps,Tríceps polea con barra V,panelas,8,3,15,
2026-03-21,Tríceps,Tríceps polea tras nuca,panelas,8,3,15,
2026-03-21,Tríceps,Tríceps polea unilateral,panelas,3,3,8,con accesorio de glúteo
2026-03-25,Espalda,Halón polea,panelas,8,3,12,
2026-03-28,Bíceps,Bícep polea supino,panelas,6,3,12,
2026-03-31,Tríceps,Tríceps polea con soga,panelas,9,3,10,
2026-03-31,Tríceps,Tríceps polea tras nuca,panelas,9,3,10,
2026-03-31,Tríceps,Tríceps polea unilateral,panelas,3,3,10,con accesorio de glúteo
2026-03-31,Glúteo,Patada de glúteo,panelas,7,3,9,8-10 reps aprox
2026-04-06,Pecho,Press inclinado,kg_por_lado,20,2,4,
2026-04-06,Pecho,Press plano,kg_por_lado,30,2,4,
2026-04-07,Glúteo,Patada de glúteo,panelas,7,3,12,
2026-04-07,Tríceps,Tríceps polea con lazo,panelas,9,3,10,
2026-04-08,Espalda,Halón polea,panelas,8,3,15,
2026-04-08,Espalda,Remo cerrado,panelas,11,3,12,
2026-04-08,Hombros,Vuelo lateral unilateral,panelas,1,3,12,con accesorio de glúteo
2026-04-11,Espalda,Halón polea,panelas,9,3,13,
2026-04-13,Pecho,Press inclinado barra asistida,kg_por_lado,20,2,12,
2026-04-13,Tríceps,Tríceps polea con barra V invertida,panelas,9,4,15,pegado al revés
2026-04-13,Tríceps,Tríceps polea unilateral,panelas,3,3,12,objetivo 15 reps
2026-04-13,Tríceps,Tríceps polea unilateral drop,panelas,9,2,10,luego 8 panelas x7
2026-04-14,Glúteo,Patada de glúteo polea unilateral,panelas,7,3,15,
2026-04-14,Piernas,Flexor de rodilla,panelas,7,3,10,
2026-04-14,Piernas,Extensor de rodilla,panelas,5,3,10,
2026-04-15,Espalda,Halón polea,panelas,9,3,15,
2026-04-15,Espalda,Halón polea unilateral progresivo,panelas,4,3,14,3p→4p→5p reps 15-15-12
2026-04-15,Hombros,Vuelo lateral unilateral,panelas,1,3,15,con accesorio de glúteo
2026-04-16,Pecho,Press inclinado barra asistida,kg_por_lado,20,3,13,
2026-04-16,Abdomen,Abdominal crunch con polea,panelas,10,3,16,
2026-04-20,Pecho,Press inclinado barra asistida,kg_por_lado,30,3,5,subida de 20 a 30 kg
2026-04-21,Piernas,Extensor de rodilla,panelas,5,3,15,
2026-04-21,Piernas,Flexor de rodilla,panelas,7,3,15,
2026-04-21,Glúteo,Patada de glúteo unilateral,panelas,8,3,10,
2026-04-21,Tríceps,Tríceps polea unilateral,panelas,3,3,15,
2026-04-22,Espalda,Halón polea agarre amplio,panelas,10,3,13,
2026-04-22,Espalda,Halón polea unilateral,panelas,5,3,12,
2026-04-22,Hombros,Vuelo lateral unilateral,panelas,2,3,12,con accesorio de glúteo
2026-04-23,Pecho,Press inclinado,kg_por_lado,30,2,5,6 reps serie 1 y 5 reps serie 2
2026-04-24,Tríceps,Tríceps polea con lazo,panelas,10,3,10,
2026-04-24,Tríceps,Tríceps polea unilateral,panelas,3,3,16,
2026-04-24,Hombros,Vuelos laterales sentado,libras,18,2,14,12-16 reps
2026-04-24,Pantorrilla,Pantorrilla sentado,kg_por_lado,20,3,12,
2026-04-24,Piernas,Femoral acostado,panelas,8,3,10,
2026-04-24,Glúteo,Hip thrust,kg_por_lado,60,3,12,3 discos de 20kg c/lado
